"geolcode","class","abbreviation","de","de_description","fr","fr_description","it","it_description","en","en_description","color","pattern","tree"
15201106,"vlit500",,,,,,,,"Forenirchel-Schotter",,"215,180,190",,"15201250.15201005.15201435.15201436.15201108.15201106"
15201107,"vlit500",,,,,,,,"Steig-Schotter",,"215,180,190",,"15201250.15201005.15201435.15201436.15201108.15201107"
15201110,"vlit500",,,,,,,,"Hasli-Formation",,"215,180,190",,"15201250.15201005.15201435.15201436.15201108.15201110"
15201112,"vlit500",,,,,,,,"Irchel-Schotter s.s.",,"215,180,190",,"15201250.15201005.15201435.15201436.15201108.15201112"
15201114,"vlit500",,,,,,,,"Langacher-Schotter",,"215,180,190",,"15201250.15201005.15201435.15201436.15201108.15201114"
15201115,"vlit500",,,,,,,,"Dürn-Formation",,"215,180,190",,"15201250.15201005.15201435.15201436.15201115"
15201116,"vlit500",,,,,,,,"Degermoos-Schotter",,"215,180,190",,"15201250.15201005.15201435.15201436.15201116"
15201117,"vlit500",,,,,,,,"Ebnet-Schotter",,"215,180,190",,"15201250.15201005.15201435.15201436.15201117"
15201118,"vlit500",,,,,,,,"Wannen-Schotter",,"215,180,190",,"15201250.15201005.15201435.15201436.15201118"
15201119,"vlit500",,,,,,,,"Egghalden-Schotter",,"215,180,190",,"15201250.15201005.15201435.15201436.15201119"
15201120,"vlit500",,,,,,,,"Buechen-Formation",,"215,180,190",,"15201250.15201005.15201435.15201436.15201120"
15201121,"vlit500",,,,,,,,"Feusi-Schotter",,"215,180,190",,"15201250.15201005.15201435.15201436.15201121"
15201122,"vlit500",,,,,,,,"Lindenhau-Schotter",,"215,180,190",,"15201250.15201005.15201435.15201436.15201122"
15201123,"vlit500",,,,,,,,"Egg-Schotter",,"215,180,190",,"15201250.15201005.15201435.15201436.15201123"
15201258,"vlit500",,,,,,,,"Chilchstapfen-Schotter",,"215,180,190",,"15201250.15201005.15201435.15201436.15201258"
15201430,"vlit500",,,,,,,,"Undifferenzierte Gruppe des Deckenschotters",,"215,190,190",,"15201250.15201430"
15201431,"vlit500",,,,,,,,"Undifferenzierte Subgruppe des Deckenschotters",,"215,190,190",,"15201250.15201430.15201431"
15201432,"vlit500",,,,,,,,"Undifferenzierte Superformation des Deckenschotters",,"215,190,190",,"15201250.15201430.15201431.15201432"
15201251,"vlit500",,,,,,,,"Girenbad-Schotter",,"215,190,190",,"15201250.15201430.15201431.15201432.15201251"
15201333,"vlit500",,,,,,,,"Pliozäne Ablagerungen, undifferenziert",,"225,175,150",,"15201333"
15201437,"vlit500",,,,,,,,"Undifferenzierte Gruppe der Pliozäne Ablagerungen",,"225,175,150",,"15201333.15201437"
15201438,"vlit500",,,,,,,,"Undifferenzierte Subgruppe der Pliozäne Ablagerungen",,"225,175,150",,"15201333.15201437.15201438"
15201439,"vlit500",,,,,,,,"Undifferenzierte Superformation der Pliozäne Ablagerungen",,"225,175,150",,"15201333.15201437.15201438.15201439"
15200388,"vlit500",,,,,,,,"Wanderblock-Formation",,"215,180,190",,"15201333.15201437.15201438.15201439.15200388"
15201124,"vlit500",,,,,,,,"Sundgau-Schotter",,"225,175,150",,"15201333.15201437.15201438.15201439.15201124"
15201125,"vlit500",,,,,,,,"Mischschotter",,"225,175,150",,"15201333.15201437.15201438.15201439.15201124.15201125"
15201309,"vlit500",,,,,,,,"Bonfol-Ton",,"225,175,150",,"15201333.15201437.15201438.15201439.15201124.15201309"
15201126,"vlit500",,,,,,,,"Weisse Serie",,"225,175,150",,"15201333.15201437.15201438.15201439.15201126"
15201259,"vlit500",,,,,,,,"Ofenloch-Karstfüllung",,"225,175,150",,"15201333.15201437.15201438.15201439.15201259"
15201400,"vlit500",,,,,,,,"Holozäne Ablagerungen, undifferenziert",,"240,240,240",,"15201400"
15201401,"vlit500",,,,,,,,"Informell benannte Holozäne Gruppe",,"240,240,240",,"15201400.15201401"
15201402,"vlit500",,,,,,,,"Informell benannte Holozäne Subgruppe",,"240,240,240",,"15201400.15201401.15201402"
15201403,"vlit500",,,,,,,,"Informell bennante Holozäne Superformation",,"240,240,240",,"15201400.15201401.15201402.15201403"
15201311,"vlit500",,,,,,,,"Informell benannte Bergsturzablagerungen",,"240,240,240",,"15201400.15201401.15201402.15201403.15201311"
15201261,"vlit500",,,,,,,,"Bergsturzablagerungen vom Oeschinensee",,"240,240,240",,"15201400.15201401.15201402.15201403.15201311.15201261"
15201262,"vlit500",,,,,,,,"Bergsturzablagerungen vom Fisistock",,"240,240,240",,"15201400.15201401.15201402.15201403.15201311.15201262"
15201263,"vlit500",,,,,,,,"Bergsturzablagerungen von Bire",,"240,240,240",,"15201400.15201401.15201402.15201403.15201311.15201263"
15201286,"vlit500",,,,,,,,"Bergsturzablagerungen von Sierre",,"240,240,240",,"15201400.15201401.15201402.15201403.15201311.15201286"
15201287,"vlit500",,,,,,,,"Bergsturzablagerungen von Chiètres",,"240,240,240",,"15201400.15201401.15201402.15201403.15201311.15201287"
15201288,"vlit500",,,,,,,,"Bergsturzablagerungen von Chessel-Noville",,"240,240,240",,"15201400.15201401.15201402.15201403.15201311.15201288"
15201289,"vlit500",,,,,,,,"Bergsturzablagerungen von Novalles-Vugelles",,"240,240,240",,"15201400.15201401.15201402.15201403.15201311.15201289"
15201290,"vlit500",,,,,,,,"Bergsturzablagerungen von Gwelber-Laui-Weid",,"240,240,240",,"15201400.15201401.15201402.15201403.15201311.15201290"
15201291,"vlit500",,,,,,,,"Bergsturzablagerungen von Castasegna",,"240,240,240",,"15201400.15201401.15201402.15201403.15201311.15201291"
15201292,"vlit500",,,,,,,,"Bergsturzablagerungen von Sogno",,"240,240,240",,"15201400.15201401.15201402.15201403.15201311.15201292"
15201293,"vlit500",,,,,,,,"Bergsturzablagerungen von Parpan",,"240,240,240",,"15201400.15201401.15201402.15201403.15201311.15201293"
15201294,"vlit500",,,,,,,,"Bergsturzablagerungen von Schaingels",,"240,240,240",,"15201400.15201401.15201402.15201403.15201311.15201294"
15201295,"vlit500",,,,,,,,"Bergsturzablagerungen von Mutta",,"240,240,240",,"15201400.15201401.15201402.15201403.15201311.15201295"
15201296,"vlit500",,,,,,,,"Bergsturzablagerungen von Brienz",,"240,240,240",,"15201400.15201401.15201402.15201403.15201311.15201296"
15201297,"vlit500",,,,,,,,"Bergsturzablagerungen von Flims",,"240,240,240",,"15201400.15201401.15201402.15201403.15201311.15201297"
15201298,"vlit500",,,,,,,,"Bergsturzablagerungen von Brüsis",,"240,240,240",,"15201400.15201401.15201402.15201403.15201311.15201298"
15201299,"vlit500",,,,,,,,"Bergsturzablagerungen vom Chapf",,"240,240,240",,"15201400.15201401.15201402.15201403.15201311.15201299"
15201300,"vlit500",,,,,,,,"Bergsturzablagerungen von Derborence",,"240,240,240",,"15201400.15201401.15201402.15201403.15201311.15201300"
15201301,"vlit500",,,,,,,,"Bergsturzablagerungen vom Drussetschawald",,"240,240,240",,"15201400.15201401.15201402.15201403.15201311.15201301"
15201302,"vlit500",,,,,,,,"Bergsturzablagerungen vom Delenwald",,"240,240,240",,"15201400.15201401.15201402.15201403.15201311.15201302"
15201303,"vlit500",,,,,,,,"Bergsturzablagerungen von Elm",,"240,240,240",,"15201400.15201401.15201402.15201403.15201311.15201303"
15201304,"vlit500",,,,,,,,"Bergsturzablagerungen von Goldau",,"240,240,240",,"15201400.15201401.15201402.15201403.15201311.15201304"
15201305,"vlit500",,,,,,,,"Bergsturzablagerungen von Iragell",,"240,240,240",,"15201400.15201401.15201402.15201403.15201311.15201305"
15201306,"vlit500",,,,,,,,"Bergsturzablagerungen vom Kernwald",,"240,240,240",,"15201400.15201401.15201402.15201403.15201311.15201306"
15201307,"vlit500",,,,,,,,"Bergsturzablagerungen von Triesenberg",,"240,240,240",,"15201400.15201401.15201402.15201403.15201311.15201307"
15201308,"vlit500",,,,,,,,"Bonaduz-Formation",,"240,240,240",,"15201400.15201401.15201402.15201403.15201311.15201308"
15201310,"vlit500",,,,,,,,"Bergsturzablagerungen von Tamins",,"240,240,240",,"15201400.15201401.15201402.15201403.15201311.15201310"
15201460,"vlit500",,,,,,,,"Bergsturzablagerungen vom Stützwald",,"240,240,240",,"15201400.15201401.15201402.15201403.15201311.15201460"
15201312,"vlit500",,,,,,,,"Informell benannte künstliche Ablagerungen",,"240,240,240",,"15201400.15201401.15201402.15201403.15201312"
15201313,"vlit500",,,,,,,,"Künstliche Ablagerungen des Bahnhofs Brig",,"240,240,240",,"15201400.15201401.15201402.15201403.15201312.15201313"
15201314,"vlit500",,,,,,,,"Künstliche Ablagerungen von Goler",,"240,240,240",,"15201400.15201401.15201402.15201403.15201312.15201314"
15201315,"vlit500",,,,,,,,"Künstliche Ablagerungen der Gamsenried-Deponie",,"240,240,240",,"15201400.15201401.15201402.15201403.15201312.15201315"
15201316,"vlit500",,,,,,,,"Künstliche Ablagerungen des Riedertals",,"240,240,240",,"15201400.15201401.15201402.15201403.15201312.15201316"
15201454,"vlit500",,,,,,,,"Damm, undifferenziert",,"240,240,240",,"15201400.15201401.15201402.15201403.15201312.15201454"
15201317,"vlit500",,,,,,,,"Informell benannte Sackungsmassen",,"240,240,240",,"15201400.15201401.15201402.15201403.15201317"
15201318,"vlit500",,,,,,,,"Sackungsmasse des Heinzenbergs",,"240,240,240",,"15201400.15201401.15201402.15201403.15201317.15201318"
15201381,"vlit500",,,,,,,,"Sackungsmasse des Riedbergs",,"240,240,240",,"15201400.15201401.15201402.15201403.15201317.15201381"
15201319,"vlit500",,,,,,,,"Informell benannte fluviatile Schotter",,"240,240,240",,"15201400.15201401.15201402.15201403.15201319"
15201181,"vlit500",,,,,,,,"Schotter des Rheins und der Aare",,"240,240,240",,"15201400.15201401.15201402.15201403.15201319.15201181"
15201184,"vlit500",,,,,,,,"Schotter der Wutach",,"240,240,240",,"15201400.15201401.15201402.15201403.15201319.15201184"
15201320,"vlit500",,,,,,,,"Schotter und Sand der Rhône",,"240,240,240",,"15201400.15201401.15201402.15201403.15201319.15201320"
15201321,"vlit500",,,,,,,,"Schotter und Sand der Vispa",,"240,240,240",,"15201400.15201401.15201402.15201403.15201319.15201321"
15201382,"vlit500",,,,,,,,"Schotter der Gürbe",,"240,240,240",,"15201400.15201401.15201402.15201403.15201319.15201382"
15201383,"vlit500",,,,,,,,"Schotter der Simme",,"240,240,240",,"15201400.15201401.15201402.15201403.15201319.15201383"
15201384,"vlit500",,,,,,,,"Schotter der Chise",,"240,240,240",,"15201400.15201401.15201402.15201403.15201319.15201384"
15201385,"vlit500",,,,,,,,"Schotter der Lütschine",,"240,240,240",,"15201400.15201401.15201402.15201403.15201319.15201385"
15201386,"vlit500",,,,,,,,"Schotter der Zulg",,"240,240,240",,"15201400.15201401.15201402.15201403.15201319.15201386"
15201387,"vlit500",,,,,,,,"Schotter der Kander",,"240,240,240",,"15201400.15201401.15201402.15201403.15201319.15201387"
15201322,"vlit500",,,,,,,,"Informell benannter Bachschutt",,"240,240,240",,"15201400.15201401.15201402.15201403.15201322"
15201323,"vlit500",,,,,,,,"Bachschutt des Baltschiederbachs",,"240,240,240",,"15201400.15201401.15201402.15201403.15201322.15201323"
15201324,"vlit500",,,,,,,,"Bachschutt des Bietschbachs",,"240,240,240",,"15201400.15201401.15201402.15201403.15201322.15201324"
15201325,"vlit500",,,,,,,,"Bachschutt des Chelchbachs",,"240,240,240",,"15201400.15201401.15201402.15201403.15201322.15201325"
15201326,"vlit500",,,,,,,,"Bachschutt der Gamsa",,"240,240,240",,"15201400.15201401.15201402.15201403.15201322.15201326"
15201327,"vlit500",,,,,,,,"Bachschutt des Jolibachs",,"240,240,240",,"15201400.15201401.15201402.15201403.15201322.15201327"
15201328,"vlit500",,,,,,,,"Bachschutt der Lonza",,"240,240,240",,"15201400.15201401.15201402.15201403.15201322.15201328"
15201329,"vlit500",,,,,,,,"Bachschutt der Saltina",,"240,240,240",,"15201400.15201401.15201402.15201403.15201322.15201329"
15201330,"vlit500",,,,,,,,"Baschutt der Vispa",,"240,240,240",,"15201400.15201401.15201402.15201403.15201322.15201330"
15201331,"vlit500",,,,,,,,"Bachschutt der Gürbe",,"240,240,240",,"15201400.15201401.15201402.15201403.15201322.15201331"
15201332,"vlit500",,,,,,,,"Bachschutt des Lombachs",,"240,240,240",,"15201400.15201401.15201402.15201403.15201322.15201332"
15201445,"vlit500",,,,,,,,"Informell benannte Rutschmassen",,"240,240,240",,"15201400.15201401.15201402.15201403.15201445"
15201446,"vlit500",,,,,,,,"Informell benannter Hangschutt",,"240,240,240",,"15201400.15201401.15201402.15201403.15201446"
15201447,"vlit500",,,,,,,,"Informell benannter Hanglehm/Schwemmlehm",,"240,240,240",,"15201400.15201401.15201402.15201403.15201447"
15201455,"vlit500",,,,,,,,"Informell benannter Hanglehm",,"240,240,240",,"15201400.15201401.15201402.15201403.15201447.15201455"
15201456,"vlit500",,,,,,,,"Informell benannter Schwemmlehm",,"240,240,240",,"15201400.15201401.15201402.15201403.15201447.15201456"
15201448,"vlit500",,,,,,,,"Informell benanntes Überschwemmungssediment",,"240,240,240",,"15201400.15201401.15201402.15201403.15201448"
15201449,"vlit500",,,,,,,,"Informell benanntes Verlandungssediment",,"240,240,240",,"15201400.15201401.15201402.15201403.15201449"
15201451,"vlit500",,,,,,,,"Lakustrisches Sediment des Rhonetals",,"240,240,240",,"15201400.15201401.15201402.15201403.15201451"
15201452,"vlit500",,,,,,,,"Informell benanntes lakustrisches Sediment",,"240,240,240",,"15201400.15201401.15201402.15201403.15201451.15201453"
15201453,"vlit500",,,,,,,,"Informell benanntes lakustrisches Sediment",,"240,240,240",,"15201400.15201401.15201402.15201403.15201451.15201453"
15201450,"vlit500",,,,,,,,"Informell benanntes lakustrisches Sediment",,"240,240,240",,"15201400.15201401.15201402.15201403.15201453"
15202012,"vlit500",,,,,,,,"Paläogen des Helvetikums",,"240,180,100",,"15202012"
15200596,"vlit500",,,,,,,,"Helvetische Flysche, undifferenziert",,"250,240,125",,"15202012.15200596"
15202004,"vlit500",,,,,,,,"Südhelvetische Flyscheinheiten",,"250,240,125",,"15202012.15200596.15202004"
15202286,"vlit500",,,,,,,,"Lavtina-Sandstein",,"250,240,125",,"15202012.15200596.15202004.15202286"
15202287,"vlit500",,,,,,,,"Blattengrat-Sandstein",,"250,240,125",,"15202012.15200596.15202004.15202287"
15202288,"vlit500",,,,,,,,"Burg-Sandstein",,"250,240,125",,"15202012.15200596.15202004.15202288"
15202005,"vlit500",,,,,,,,"Nordhelvetische Flysch-Gruppe",,"250,240,125",,"15202012.15200596.15202005"
15202006,"vlit500",,,,,,,,"Matt-Formation",,"255,245,165",,"15202012.15200596.15202005.15202006"
15202007,"vlit500",,,,,,,,"Engi-Dachschiefer",,"255,245,165",,"15202012.15200596.15202005.15202006.15202007"
15202008,"vlit500",,,,,,,,"Gruontal-Konglomerat",,"255,245,165",,"15202012.15200596.15202005.15202006.15202008"
15202010,"vlit500",,,,,,,,"Rüschenweid-Bank",,"255,245,165",,"15202012.15200596.15202005.15202006.15202010"
15202009,"vlit500",,,,,,,,"Elm-Formation",,"255,245,130",,"15202012.15200596.15202005.15202009"
15202289,"vlit500",,,,,,,,"Val-d'Illiez-Sandstein",,"255,245,130",,"15202012.15200596.15202005.15202009.15202289"
15202011,"vlit500",,,,,,,,"Taveyannaz-Formation",,"240,235,105",,"15202012.15200596.15202005.15202011"
15202279,"vlit500",,,,,,,,"Ultrahelvetische Flyscheinheiten",,"250,240,125",,"15202012.15200596.15202279"
15202281,"vlit500",,,,,,,,"Martinsmad-Formation",,"250,240,125",,"15202012.15200596.15202279.15202281"
15202282,"vlit500",,,,,,,,"Obere Flyscheinheit (Sardona)",,"250,240,125",,"15202012.15200596.15202279.15202281.15202282"
15202283,"vlit500",,,,,,,,"Sardona-Quarzit",,"250,240,125",,"15202012.15200596.15202279.15202281.15202283"
15202284,"vlit500",,,,,,,,"Untere Flyscheinheit (Sardona)",,"250,240,125",,"15202012.15200596.15202279.15202281.15202284"
15202285,"vlit500",,,,,,,,"Meilleret-Formation",,"250,240,125",,"15202012.15200596.15202279.15202285"
15202363,"vlit500",,,,,,,,"Höchst-Flysch",,"250,240,125",,"15202012.15200596.15202279.15202285.15202363"
15202446,"vlit500",,,,,,,,"Flysch der Arveyes-Decke",,"250,240,125",,"15202012.15200596.15202279.15202446"
15202447,"vlit500",,,,,,,,"Flysch der Sex-Mort-Decke",,"250,240,125",,"15202012.15200596.15202279.15202447"
15200597,"vlit500",,,,,,,,"Euthal- bis Stad-Formation, undifferenziert",,"255,210,120",,"15202012.15200597"
15200598,"vlit500",,,,,,,,"Stad- und Muot-da-Rubi-Formation, undifferenziert",,"255,225,125",,"15202012.15200597.15200598"
15202013,"vlit500",,,,,,,,"Stad-Formation",,"255,225,125",,"15202012.15200597.15200598.15202013"
15202014,"vlit500",,,,,,,,"Wängen-Kalk",,"255,225,125",,"15202012.15200597.15200598.15202013.15202014"
15202015,"vlit500",,,,,,,,"Jochstock-Konglomerat",,"255,225,125",,"15202012.15200597.15200598.15202013.15202015"
15202296,"vlit500",,,,,,,,"Kleintal-Konglomerat",,"255,225,125",,"15202012.15200597.15200598.15202013.15202296"
15202297,"vlit500",,,,,,,,"Rütenen-Konglomerat",,"255,225,125",,"15202012.15200597.15200598.15202013.15202297"
15202411,"vlit500",,,,,,,,"Lochegg-Brekzie",,"255,225,125",,"15202012.15200597.15200598.15202013.15202411"
15202290,"vlit500",,,,,,,,"Muot-da-Rubi-Formation",,"250,230,110",,"15202012.15200597.15200598.15202290"
15202291,"vlit500",,,,,,,,"Ahornen-Member",,"250,230,110",,"15202012.15200597.15200598.15202290.15202291"
15202292,"vlit500",,,,,,,,"Kistenstöckli-Member",,"250,230,110",,"15202012.15200597.15200598.15202290.15202292"
15202293,"vlit500",,,,,,,,"Ghölzwald-Member",,"250,230,110",,"15202012.15200597.15200598.15202290.15202293"
15202294,"vlit500",,,,,,,,"Malor-Member",,"250,230,110",,"15202012.15200597.15200598.15202290.15202294"
15202295,"vlit500",,,,,,,,"Südelbach-Member",,"250,230,110",,"15202012.15200597.15200598.15202290.15202295"
15202394,"vlit500",,,,,,,,"Spirstock-Serie",,"255,225,125",,"15202012.15200597.15200598.15202394"
15200599,"vlit500",,,,,,,,"Euthal- bis Sanetsch-Formation, undifferenziert",,"250,190,95",,"15202012.15200597.15200599"
15202016,"vlit500",,,,,,,,"Sanetsch-Formation",,"255,210,120",,"15202012.15200597.15200599.15202016"
15202017,"vlit500",,,,,,,,"Pierredar-Kalk",,"255,210,120",,"15202012.15200597.15200599.15202016.15202017"
15202018,"vlit500",,,,,,,,"Tsanfleuron-Member",,"255,210,120",,"15202012.15200597.15200599.15202016.15202018"
15202019,"vlit500",,,,,,,,"Diablerets-Member",,"255,210,120",,"15202012.15200597.15200599.15202016.15202019"
15202393,"vlit500",,,,,,,,"Roc-Champion-Konglomerat",,"255,210,120",,"15202012.15200597.15200599.15202016.15202019.15202393"
15202020,"vlit500",,,,,,,,"Niederhorn-Formation",,"255,210,95",,"15202012.15200597.15200599.15202020"
15202021,"vlit500",,,,,,,,"Gemmenalp-Kalk",,"255,210,95",,"15202012.15200597.15200599.15202020.15202021"
15202022,"vlit500",,,,,,,,"Hohgant-Sandstein",,"255,210,95",,"15202012.15200597.15200599.15202020.15202022"
15202023,"vlit500",,,,,,,,"Wagenmoos-Bänke",,"255,210,95",,"15202012.15200597.15200599.15202020.15202022.15202023"
15202044,"vlit500",,,,,,,,"Mürren-Brekzie",,"255,210,95",,"15202012.15200597.15200599.15202020.15202022.15202044"
15202377,"vlit500",,,,,,,,"Berglikehle-Schichten",,"255,210,95",,"15202012.15200597.15200599.15202020.15202022.15202377"
15202024,"vlit500",,,,,,,,"Wildstrubel-Formation",,"250,190,95",,"15202012.15200597.15200599.15202024"
15202025,"vlit500",,,,,,,,"Schimberg-Member",,"250,190,95",,"15202012.15200597.15200599.15202024.15202025"
15202026,"vlit500",,,,,,,,"Tierberg-Member",,"250,190,95",,"15202012.15200597.15200599.15202024.15202026"
15202027,"vlit500",,,,,,,,"Küblibad-Member",,"250,190,95",,"15202012.15200597.15200599.15202024.15202027"
15202028,"vlit500",,,,,,,,"Klimsenhorn-Formation",,"245,170,90",,"15202012.15200597.15200599.15202028"
15202029,"vlit500",,,,,,,,"Fruttli-Member",,"245,170,90",,"15202012.15200597.15200599.15202028.15202029"
15202030,"vlit500",,,,,,,,"Band-Member",,"245,170,90",,"15202012.15200597.15200599.15202028.15202030"
15202031,"vlit500",,,,,,,,"Fräkmünt-Member",,"245,170,90",,"15202012.15200597.15200599.15202028.15202031"
15202032,"vlit500",,,,,,,,"Bürgen-Formation",,"245,170,65",,"15202012.15200597.15200599.15202032"
15202033,"vlit500",,,,,,,,"Foribach-Member",,"245,170,65",,"15202012.15200597.15200599.15202032.15202033"
15202034,"vlit500",,,,,,,,"Mattgrat-Member",,"245,170,65",,"15202012.15200597.15200599.15202032.15202034"
15202035,"vlit500",,,,,,,,"Scharti-Member",,"245,170,65",,"15202012.15200597.15200599.15202032.15202035"
15202037,"vlit500",,,,,,,,"Steinbach-Member",,"245,170,65",,"15202012.15200597.15200599.15202032.15202037"
15202036,"vlit500",,,,,,,,"Euthal-Formation",,"245,150,65",,"15202012.15200597.15200599.15202036"
15202038,"vlit500",,,,,,,,"Einsiedeln-Member",,"245,150,65",,"15202012.15200597.15200599.15202036.15202038"
15202039,"vlit500",,,,,,,,"Batöni-Member",,"245,150,65",,"15202012.15200597.15200599.15202036.15202039"
15202040,"vlit500",,,,,,,,"Chruteren-Member",,"245,150,65",,"15202012.15200597.15200599.15202036.15202040"
15202041,"vlit500",,,,,,,,"Fliegenspitz-Member",,"245,150,65",,"15202012.15200597.15200599.15202036.15202041"
15202042,"vlit500",,,,,,,,"Siderolithikum des Helvetikums",,"245,110,50",,"15202012.15202042"
15200602,"vlit500",,,,,,,,"Siderolithikum des Helvetikums, undifferenziert",,"245,110,50",,"15202012.15202042.15200602"
15202043,"vlit500",,,,,,,,"Grindelwald-Marmor",,"245,110,50",,"15202012.15202042.15200602.15202043"
15202045,"vlit500",,,,,,,,"Dünden-Konglomerat",,"245,110,50",,"15202012.15202042.15200602.15202045"
15202046,"vlit500",,,,,,,,"Rosenlaui-Marmor",,"245,110,50",,"15202012.15202042.15200602.15202046"
15202047,"vlit500",,,,,,,,"Kreide des Helvetikums",,"150,200,150",,"15202047"
15202457,"vlit500",,,,,,,,"Undifferenzierte Gruppe der Kreide des Helvetikums",,"150,200,150",,"15202047.15202457"
15202458,"vlit500",,,,,,,,"Undifferenzierte Subgruppe der Kreide des Helvetikums",,"150,200,150",,"15202047.15202457.15202458"
15202048,"vlit500",,,,,,,,"Wang-Formation",,"135,155,90",,"15202047.15202457.15202458.15202048"
15202299,"vlit500",,,,,,,,"Wang-Brekzie",,"135,155,90",,"15202047.15202457.15202458.15202048.15202299"
15202049,"vlit500",,,,,,,,"Amden-Formation",,"210,220,60",,"15202047.15202457.15202458.15202049"
15202421,"vlit500",,,,,,,,"Leist-Mergel",,"210,220,60",,"15202047.15202457.15202458.15202049.15202421"
15202380,"vlit500",,,,,,,,"Grotzen-Austernbank",,"210,220,60",,"15202047.15202457.15202458.15202049.15202421.15202380"
15202422,"vlit500",,,,,,,,"Leiboden-Mergel",,"185,210,110",,"15202047.15202457.15202458.15202049.15202422"
15202050,"vlit500",,,,,,,,"Seewen-Formation",,"185,210,110",,"15202047.15202457.15202458.15202050"
15202051,"vlit500",,,,,,,,"Choltal-Member",,"185,210,110",,"15202047.15202457.15202458.15202050.15202051"
15202395,"vlit500",,,,,,,,"Roter Seewen-Kalk",,"185,210,110",,"15202047.15202457.15202458.15202050.15202395"
15202396,"vlit500",,,,,,,,"Untere Götzis-Bank",,"185,210,110",,"15202047.15202457.15202458.15202050.15202396"
15202052,"vlit500",,,,,,,,"Garschella-Formation",,"245,155,155",,"15202047.15202457.15202458.15202052"
15202053,"vlit500",,,,,,,,"Selun-Member",,"245,155,155",,"15202047.15202457.15202458.15202052.15202053"
15202054,"vlit500",,,,,,,,"Kamm-Bank",,"245,155,155",,"15202047.15202457.15202458.15202052.15202053.15202054"
15202055,"vlit500",,,,,,,,"Aubrig-Schichten",,"245,155,155",,"15202047.15202457.15202458.15202052.15202053.15202055"
15202056,"vlit500",,,,,,,,"Wannenalp-Bank",,"245,155,155",,"15202047.15202457.15202458.15202052.15202053.15202056"
15202057,"vlit500",,,,,,,,"Sellamatt-Schichten",,"245,155,155",,"15202047.15202457.15202458.15202052.15202053.15202057"
15202058,"vlit500",,,,,,,,"Plattenwald-Bank",,"245,155,155",,"15202047.15202457.15202458.15202052.15202053.15202058"
15202059,"vlit500",,,,,,,,"Durschlägi-Bank",,"245,155,155",,"15202047.15202457.15202458.15202052.15202053.15202059"
15202060,"vlit500",,,,,,,,"Niederi-Schichten",,"245,155,155",,"15202047.15202457.15202458.15202052.15202053.15202060"
15202061,"vlit500",,,,,,,,"Twäriberg-Bank",,"245,155,155",,"15202047.15202457.15202458.15202052.15202053.15202061"
15202062,"vlit500",,,,,,,,"Klaus-Bank",,"245,155,155",,"15202047.15202457.15202458.15202052.15202053.15202062"
15202063,"vlit500",,,,,,,,"Rankweil-Member",,"245,155,155",,"15202047.15202457.15202458.15202052.15202063"
15202064,"vlit500",,,,,,,,"Brisi-Member",,"245,155,155",,"15202047.15202457.15202458.15202052.15202064"
15202065,"vlit500",,,,,,,,"«Brisi-Kalk»",,"245,155,155",,"15202047.15202457.15202458.15202052.15202064.15202065"
15202066,"vlit500",,,,,,,,"«Brisi-Sandstein»",,"245,155,155",,"15202047.15202457.15202458.15202052.15202064.15202066"
15202067,"vlit500",,,,,,,,"Gams-Schichten",,"245,155,155",,"15202047.15202457.15202458.15202052.15202064.15202067"
15202068,"vlit500",,,,,,,,"Luitere-Bank",,"245,155,155",,"15202047.15202457.15202458.15202052.15202064.15202068"
15202069,"vlit500",,,,,,,,"Freschen-Member",,"245,155,155",,"15202047.15202457.15202458.15202052.15202069"
15202070,"vlit500",,,,,,,,"Hochkugel-Schichten",,"245,155,155",,"15202047.15202457.15202458.15202052.15202069.15202070"
15202071,"vlit500",,,,,,,,"Grünten-Member",,"245,155,155",,"15202047.15202457.15202458.15202052.15202071"
15202072,"vlit500",,,,,,,,"Rohrbachstein-Bank",,"245,155,155",,"15202047.15202457.15202458.15202052.15202071.15202072"
15202397,"vlit500",,,,,,,,"Col-de-la-Plaine-Morte-Bank",,"245,155,155",,"15202047.15202457.15202458.15202052.15202071.15202397"
15202073,"vlit500",,,,,,,,"Schrattenkalk-Formation",,"140,200,175",,"15202047.15202457.15202458.15202073"
15202074,"vlit500",,,,,,,,"Rawil-Member",,"140,200,175",,"15202047.15202457.15202458.15202073.15202074"
15202300,"vlit500",,,,,,,,"«Oberer Schrattenkalk»",,"140,200,175",,"15202047.15202457.15202458.15202073.15202300"
15202301,"vlit500",,,,,,,,"«Unterer Schrattenkalk»",,"140,200,175",,"15202047.15202457.15202458.15202073.15202301"
15202075,"vlit500",,,,,,,,"Tierwis-Formation",,"195,200,155",,"15202047.15202457.15202458.15202075"
15202076,"vlit500",,,,,,,,"Chopf-Bank",,"195,200,155",,"15202047.15202457.15202458.15202075.15202076"
15202077,"vlit500",,,,,,,,"Drusberg-Member",,"195,200,155",,"15202047.15202457.15202458.15202075.15202077"
15202078,"vlit500",,,,,,,,"Altmann-Member",,"195,200,155",,"15202047.15202457.15202458.15202075.15202078"
15202381,"vlit500",,,,,,,,"Hurst-Mergel",,"175,195,165",,"15202047.15202457.15202458.15202075.15202381"
15202079,"vlit500",,,,,,,,"Helvetischer Kieselkalk",,"195,185,75",,"15202047.15202457.15202458.15202079"
